"road_type_desc","cost_amount","date","cost_group","activity","fault","zone","risk_human","risk_natural","link_id"
"Local Authority",0.4,2009-10-01,"VG","VEGETATION","CHEMCNTRL","Kenepuru",1,0,51985
"Local Authority",472.727272727273,2010-06-01,"PA","UNSEALED","AGGLOSS","Kenepuru",1,0,51986
"Local Authority",1527.27272727273,2010-06-01,"PA","UNSEALED","AGGLOSS","Kenepuru",1,1,51987
"Local Authority",30.1505454545455,2010-11-01,"PA","UNSEALED","SHAPE","Kenepuru",1,0,51988
"Local Authority",97.4094545454545,2010-11-01,"PA","UNSEALED","SHAPE","Kenepuru",1,1,51989
"Local Authority",100.501818181818,2010-10-01,"VG","VEGETATION","CHEMCNTRL","Kenepuru",1,0,51990
"Local Authority",324.698181818182,2010-10-01,"VG","VEGETATION","CHEMCNTRL","Kenepuru",1,1,51991
"Local Authority",100.501818181818,2011-08-01,"VG","VEGETATION","CHEMCNTRL","Kenepuru",1,0,51992
"Local Authority",324.698181818182,2011-08-01,"VG","VEGETATION","CHEMCNTRL","Kenepuru",1,1,51993
"Local Authority",106.363636363636,2011-09-01,"PA","UNSEALED","AGGLOSS","Kenepuru",1,0,51994
"Local Authority",343.636363636364,2011-09-01,"PA","UNSEALED","AGGLOSS","Kenepuru",1,1,51995
"Local Authority",271.818181818182,2012-05-01,"PA","UNSEALED","AGGLOSS","Kenepuru",1,0,51996
"Local Authority",878.181818181818,2012-05-01,"PA","UNSEALED","AGGLOSS","Kenepuru",1,1,51997
"Local Authority",100.501818181818,2012-11-01,"VG","VEGETATION","CHEMCNTRL","Kenepuru",1,0,51998
"Local Authority",324.698181818182,2012-11-01,"VG","VEGETATION","CHEMCNTRL","Kenepuru",1,1,51999
"Local Authority",30.1505454545455,2013-05-01,"PA","UNSEALED","SHAPE","Kenepuru",1,0,52000
"Local Authority",97.4094545454545,2013-05-01,"PA","UNSEALED","SHAPE","Kenepuru",1,1,52001
"Local Authority",150.752727272727,2013-08-01,"VG","VEGETATION","CHEMCNTRL","Kenepuru",1,0,52002
"Local Authority",487.047272727273,2013-08-01,"VG","VEGETATION","CHEMCNTRL","Kenepuru",1,1,52003
"Local Authority",35.1756363636364,2014-07-01,"PA","UNSEALED","SHAPE","Kenepuru",1,0,52004
"Local Authority",113.644363636364,2014-07-01,"PA","UNSEALED","SHAPE","Kenepuru",1,1,52005
"Local Authority",37.6881818181818,2015-11-01,"PA","UNSEALED","SHAPE","Kenepuru",1,0,52006
