"shape_id","x","y"
1,174.14252,-41.12959
2,174.14281,-41.12967
3,174.14305,-41.12982
4,174.1433,-41.12995
5,174.1434,-41.13018
6,174.14349,-41.13038
7,174.14368,-41.13054
8,174.14385,-41.13071
9,174.14401,-41.13088
10,174.14415,-41.13107
11,174.14434,-41.13122
12,174.1446,-41.13131
13,174.14485,-41.1314
14,174.1451,-41.13151
15,174.14533,-41.13163
16,174.1455,-41.1318
17,174.14576,-41.13185
18,174.14599,-41.13173
19,174.14617,-41.13157
20,174.14636,-41.13141
21,174.14661,-41.13131
22,174.14687,-41.1314
23,174.14714,-41.13141
24,174.14742,-41.13136
25,174.14763,-41.13123
26,174.14782,-41.13108
27,174.14808,-41.131
28,174.14833,-41.13108
29,174.14853,-41.13123
30,174.1486,-41.13144
31,174.14871,-41.13162
32,174.14893,-41.13176
33,174.14912,-41.13189
34,174.1494,-41.13185
35,174.14955,-41.13167
36,174.14971,-41.1315
37,174.14981,-41.1313
38,174.14991,-41.1311
39,174.14999,-41.13089
40,174.15006,-41.13069
41,174.15023,-41.13052
42,174.15044,-41.13037
43,174.15064,-41.13022
44,173.89523,-41.29018
45,173.89539,-41.28999
46,173.89555,-41.2898
47,173.89571,-41.28961
48,173.89587,-41.28942
49,173.89603,-41.28923
50,173.89619,-41.28905
51,173.89635,-41.28886
52,173.89651,-41.28867
53,173.89668,-41.28848
54,173.89684,-41.28829
55,173.89699,-41.2881
56,173.89715,-41.28791
57,173.89731,-41.28771
58,173.89747,-41.28752
59,173.89763,-41.28733
60,173.89779,-41.28714
61,173.89795,-41.28695
62,173.8981,-41.28676
63,173.89826,-41.28657
64,173.89842,-41.28638
65,173.89858,-41.28619
66,173.89874,-41.286
67,173.8989,-41.28581
68,173.89906,-41.28562
69,173.89922,-41.28543
70,173.89938,-41.28524
71,173.89954,-41.28505
72,173.8997,-41.28486
73,173.89986,-41.28467
74,173.90002,-41.28448
75,173.90018,-41.28429
76,173.90034,-41.2841
77,173.9005,-41.28391
78,173.90066,-41.28372
79,173.90083,-41.28353
80,173.90098,-41.28334
81,173.90114,-41.28315
82,173.9013,-41.28296
83,173.90145,-41.28277
84,173.90161,-41.28258
85,173.90177,-41.28239
86,173.90193,-41.28219
87,173.90208,-41.282
88,173.9023,-41.28185
89,173.90257,-41.28175
90,173.90277,-41.28159
91,173.90292,-41.2814
92,173.90303,-41.28119
93,173.90312,-41.28097
94,173.90325,-41.28077
