"gate_source","gate_target","produce"
28890,70,"Fruit"
28891,70,"Fruit"
28895,70,"Fruit"
28900,70,"Fruit"
28901,70,"Fruit"
28902,70,"Fruit"
27499,70,"Fruit"
27735,70,"Fruit"
27736,70,"Fruit"
27502,70,"Fruit"
27503,70,"Fruit"
27538,70,"Fruit"
27543,70,"Fruit"
27545,70,"Fruit"
27785,70,"Fruit"
27786,70,"Fruit"
27788,70,"Fruit"
27789,70,"Fruit"
27793,70,"Fruit"
28644,70,"Fruit"
28907,70,"Fruit"
28651,70,"Fruit"
28652,70,"Fruit"
28654,70,"Fruit"
28893,70,"Fruit"
28894,70,"Fruit"
28896,70,"Fruit"
28898,70,"Fruit"
28649,70,"Fruit"
28890,73,"Fruit"
28891,73,"Fruit"
28895,73,"Fruit"
28900,73,"Fruit"
28901,73,"Fruit"
28902,73,"Fruit"
27499,73,"Fruit"
27735,73,"Fruit"
27736,73,"Fruit"
27502,73,"Fruit"
27503,73,"Fruit"
27538,73,"Fruit"
27539,73,"Fruit"
27543,73,"Fruit"
27544,73,"Fruit"
27545,73,"Fruit"
27785,73,"Fruit"
27786,73,"Fruit"
27788,73,"Fruit"
27789,73,"Fruit"
27793,73,"Fruit"
28644,73,"Fruit"
28907,73,"Fruit"
28651,73,"Fruit"
28652,73,"Fruit"
28654,73,"Fruit"
28893,73,"Fruit"
28894,73,"Fruit"
28896,73,"Fruit"
28898,73,"Fruit"
28899,73,"Fruit"
28649,73,"Fruit"
28897,70,"Veges"
28898,70,"Veges"
28899,70,"Veges"
28900,70,"Veges"
28667,70,"Veges"
28668,70,"Veges"
28670,70,"Veges"
28646,70,"Veges"
28648,70,"Veges"
28649,70,"Veges"
28650,70,"Veges"
28654,70,"Veges"
28656,70,"Veges"
28658,70,"Veges"
28659,70,"Veges"
28867,70,"Veges"
28868,70,"Veges"
28869,70,"Veges"
27539,70,"Veges"
27540,70,"Veges"
27541,70,"Veges"
27542,70,"Veges"
27786,70,"Veges"
27787,70,"Veges"
27788,70,"Veges"
28643,70,"Veges"
28645,70,"Veges"
28907,70,"Veges"
28651,70,"Veges"
28652,70,"Veges"
28653,70,"Veges"
27790,70,"Veges"
27791,70,"Veges"
27792,70,"Veges"
