"main_pack","sub_pack","stage","month","forecast","baseline","actuals"
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","Concept Design including investigations and consultations where applicable",2022-08-01,2950,1882,0
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","Concept Design including investigations and consultations where applicable",2022-09-01,5532,3529,0
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","Concept Design including investigations and consultations where applicable",2022-10-01,5716,3647,0
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","Concept Design including investigations and consultations where applicable",2022-11-01,4610,2941,0
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","Construction",2023-08-01,11720,19000,23519
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","Construction",2023-09-01,117199,190000,149669
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","Construction",2023-10-01,121106,196333,201465
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","Construction",2023-11-01,117199,190000,46055
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","Construction",2023-12-01,31253,50667,-579
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","Construction",2024-02-01,0,0,12118
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","Detailed Design",2023-02-01,1927,2036,0
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","Detailed Design",2023-03-01,7468,7891,0
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","Detailed Design",2023-04-01,7227,7636,0
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","Detailed Design",2023-05-01,7468,7891,0
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","Detailed Design",2023-06-01,7227,7636,0
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","Detailed Design",2023-07-01,7468,7891,0
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","Detailed Design",2023-08-01,964,1018,0
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","MSQA",2023-08-01,0,0,0
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","MSQA",2023-09-01,0,0,0
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","MSQA",2023-10-01,0,0,0
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","MSQA",2023-11-01,0,0,0
"Anderson Aubrey IS SNP","Anderson Aubrey IS SNP","MSQA",2023-12-01,0,0,0
"Anderson Rd Active Travel","Anderson Rd Active Travel","Construction",2023-02-01,35801,0,0
"Anderson Rd Active Travel","Anderson Rd Active Travel","Construction",2023-03-01,138727,0,99511
"Anderson Rd Active Travel","Anderson Rd Active Travel","Construction",2023-04-01,134252,0,154758
"Anderson Rd Active Travel","Anderson Rd Active Travel","Construction",2023-05-01,138727,0,405264
"Anderson Rd Active Travel","Anderson Rd Active Travel","Construction",2023-06-01,134252,0,174882
"Anderson Rd Active Travel","Anderson Rd Active Travel","Construction",2023-07-01,138727,0,167444
"Anderson Rd Active Travel","Anderson Rd Active Travel","Construction",2023-08-01,138727,0,77992
"Anderson Rd Active Travel","Anderson Rd Active Travel","Construction",2023-09-01,134252,0,21797
"Anderson Rd Active Travel","Anderson Rd Active Travel","Construction",2023-10-01,138727,0,88994
"Anderson Rd Active Travel","Anderson Rd Active Travel","Construction",2023-11-01,134252,0,134276
"Anderson Rd Active Travel","Anderson Rd Active Travel","Construction",2023-12-01,138727,0,65404
"Anderson Rd Active Travel","Anderson Rd Active Travel","Construction",2024-01-01,85026,0,0
"Anderson Rd Active Travel","Anderson Rd Active Travel","Construction",2024-02-01,0,0,44705
"Anderson Rd Active Travel","Anderson Rd Active Travel","MSQA",2023-02-01,1112,463,0
