"edge_id","trip_group_id","produce","flow_value"
574,6,"Beef",21666
64,12,"Forestry",216734
1996,18,"Fruit",569431
1526,27,"Sheepmeat",420511
1036,25,"Veges",146136
1898,28,"Sheepmeat",44577
1965,4,"Beef",277803
1203,17,"Fruit",25123
410,10,"Sheepmeat",39020
1822,10,"Sheepmeat",69855
1582,3,"Beef",12703940
1069,29,"Sheepmeat",14723
2824,15,"Forestry",6132555
2217,29,"Sheepmeat",1985213
2426,9,"Sheepmeat",178008
2317,27,"Sheepmeat",758437
2133,11,"Forestry",173645
3002,16,"Forestry",60295334
2843,24,"Veges",31465611
1387,27,"Sheepmeat",11095
2753,27,"Sheepmeat",7480794
2747,28,"Sheepmeat",1779727
1534,4,"Beef",1059510
767,29,"Sheepmeat",34560
2827,21,"Fruit",139364
2508,27,"Sheepmeat",157833
135,15,"Forestry",6043
2338,2,"Beef",393708
3056,18,"Fruit",16757
690,17,"Fruit",105555
1454,2,"Beef",1021
1435,1,"Dairy",2110245
1588,22,"Fruit",55676
1390,28,"Sheepmeat",49425
2126,9,"Sheepmeat",1006269
923,3,"Beef",38389
1223,27,"Sheepmeat",166191
2802,25,"Veges",6083886
1518,28,"Sheepmeat",21983
944,19,"Fruit",5669071
2153,29,"Sheepmeat",7901762
1435,28,"Sheepmeat",34096284
2215,3,"Beef",79112
1008,28,"Sheepmeat",1993266
2437,12,"Forestry",2143621
384,10,"Sheepmeat",24784517
3068,27,"Sheepmeat",33190268
2314,3,"Beef",10537
1089,12,"Forestry",21741
1435,16,"Forestry",25729553
1318,10,"Sheepmeat",152551
1543,16,"Forestry",13308826
1453,20,"Fruit",1833
1116,24,"Veges",475964
2819,16,"Forestry",75928364
669,9,"Sheepmeat",17940
2793,6,"Beef",8405
1494,11,"Forestry",1328833
1237,27,"Sheepmeat",362926
1556,10,"Sheepmeat",5638055
1999,10,"Sheepmeat",1845828
212,19,"Fruit",104122269
2339,11,"Forestry",678368
1826,8,"Sheepmeat",486967
2028,2,"Beef",798117
2181,12,"Forestry",33365
1652,28,"Sheepmeat",296350
294,10,"Sheepmeat",16251
1700,11,"Forestry",22082
2830,11,"Forestry",3098577
1869,16,"Forestry",371544
3096,25,"Veges",223113
1532,3,"Beef",2780
2034,29,"Sheepmeat",50882359
1636,4,"Beef",111796
2437,15,"Forestry",4360007
2426,26,"Veges",112340
1219,15,"Forestry",1201290
2337,27,"Sheepmeat",331552
2238,2,"Beef",4210
2885,26,"Veges",12725704
2725,25,"Veges",309719
2118,11,"Forestry",1713
1279,4,"Beef",166682
1458,29,"Sheepmeat",7285
1577,3,"Beef",12703940
725,9,"Sheepmeat",4228
1842,13,"Forestry",1578
3128,25,"Veges",31412107
2817,18,"Fruit",242387
2757,27,"Sheepmeat",11488455
3037,23,"Veges",32692858
3069,22,"Fruit",349353
915,8,"Sheepmeat",843438
2802,17,"Fruit",16757
2940,17,"Fruit",16757
2959,12,"Forestry",889597
65,26,"Veges",543828
3044,13,"Forestry",5917
2520,28,"Sheepmeat",1452514
1581,21,"Fruit",203202
155,9,"Sheepmeat",25724
2124,28,"Sheepmeat",2899550
2753,1,"Dairy",6318043
1450,12,"Forestry",53255
2374,12,"Forestry",384809
2797,12,"Forestry",1629364
1207,17,"Fruit",63862
3049,28,"Sheepmeat",9775880
1215,16,"Forestry",44940372
1788,9,"Sheepmeat",255467
1812,14,"Forestry",2139
2163,29,"Sheepmeat",49701
1864,12,"Forestry",12101
1390,27,"Sheepmeat",49425
3060,20,"Fruit",302437
2281,4,"Beef",1120455
2774,14,"Forestry",51630
3074,3,"Beef",3008116
1378,28,"Sheepmeat",1710836
1633,27,"Sheepmeat",849791
3023,25,"Veges",31465611
1078,13,"Forestry",12658
1377,13,"Forestry",4347
3138,13,"Forestry",242970
2122,3,"Beef",764171
1454,23,"Veges",86775
2884,20,"Fruit",69702
728,28,"Sheepmeat",5881
3075,27,"Sheepmeat",4786469
1460,26,"Veges",2021
1455,2,"Beef",1317938
2317,2,"Beef",138867
2127,14,"Forestry",8566
3013,19,"Fruit",15925748
2722,23,"Veges",6338461
1687,11,"Forestry",26046
3094,10,"Sheepmeat",87253246
2865,24,"Veges",27780670
2359,10,"Sheepmeat",893101
3076,11,"Forestry",22538
1766,27,"Sheepmeat",202828
901,25,"Veges",17836
270,25,"Veges",31465611
2719,27,"Sheepmeat",1220
922,27,"Sheepmeat",65751
1705,28,"Sheepmeat",1647
3086,29,"Sheepmeat",7113809
2461,18,"Fruit",49780
2551,23,"Veges",637600
3012,21,"Fruit",10413973
2808,7,"Beef",25193
2862,3,"Beef",12342669
1496,29,"Sheepmeat",2555544
3081,25,"Veges",286091
2974,16,"Forestry",13164246
134,12,"Forestry",2199
1689,16,"Forestry",3933324
921,10,"Sheepmeat",39084
311,8,"Sheepmeat",863561
2598,5,"Beef",8405
3138,17,"Fruit",701154
2797,14,"Forestry",133864
2157,8,"Sheepmeat",251747
3010,1,"Dairy",212224
831,22,"Fruit",1017270
1207,22,"Fruit",2660
1818,28,"Sheepmeat",219778
2922,1,"Dairy",294373
2410,10,"Sheepmeat",1445
3166,7,"Beef",836800
1986,15,"Forestry",221230
2910,27,"Sheepmeat",17176041
2565,3,"Beef",37663
1058,19,"Fruit",802770
816,27,"Sheepmeat",5942
792,15,"Forestry",17286
3119,11,"Forestry",619873
1651,9,"Sheepmeat",1870683
2321,27,"Sheepmeat",6110
2618,9,"Sheepmeat",39020
3151,8,"Sheepmeat",25348012
81,27,"Sheepmeat",30541
1783,27,"Sheepmeat",76362
2874,28,"Sheepmeat",84150289
1122,9,"Sheepmeat",252117
1623,16,"Forestry",13116137
1039,25,"Veges",822807
2550,4,"Beef",7013514
216,16,"Forestry",3683
3115,5,"Beef",178929
212,2,"Beef",6376
2222,23,"Veges",6295645
2380,12,"Forestry",231626
898,1,"Dairy",762789
1582,2,"Beef",12703940
3163,16,"Forestry",12195746
2745,21,"Fruit",17356
2286,10,"Sheepmeat",181391
473,4,"Beef",28303
2783,10,"Sheepmeat",2486815
1986,8,"Sheepmeat",159354
2722,20,"Fruit",2162
3118,12,"Forestry",162210
2095,4,"Beef",499735
3033,4,"Beef",38501336
728,19,"Fruit",17577
2935,29,"Sheepmeat",674041
998,29,"Sheepmeat",6400112
2804,29,"Sheepmeat",48765074
2213,27,"Sheepmeat",85697
917,27,"Sheepmeat",10866695
1182,2,"Beef",581199
2295,16,"Forestry",60302033
3071,12,"Forestry",69826
1829,9,"Sheepmeat",2532917
1873,11,"Forestry",12101
520,10,"Sheepmeat",4543
2073,7,"Beef",8850
1205,17,"Fruit",63862
2282,3,"Beef",310533
2765,3,"Beef",10747871
2162,16,"Forestry",6069175
2439,20,"Fruit",954556
1810,13,"Forestry",17371
2910,6,"Beef",8405
1519,9,"Sheepmeat",4630
3037,16,"Forestry",6699
534,17,"Fruit",103601
111,15,"Forestry",1583
1084,4,"Beef",1653913
410,9,"Sheepmeat",39020
1972,29,"Sheepmeat",1849969
2568,8,"Sheepmeat",2629665
3026,15,"Forestry",6586781
2761,2,"Beef",6902982
2217,9,"Sheepmeat",475698
3126,21,"Fruit",175973
921,21,"Fruit",159563
2499,7,"Beef",25193
559,21,"Fruit",26724
3099,17,"Fruit",1395396
1509,16,"Forestry",171819903
2858,29,"Sheepmeat",310907
2815,25,"Veges",14360019
825,9,"Sheepmeat",5358
962,28,"Sheepmeat",153874
2773,4,"Beef",131104723
2033,8,"Sheepmeat",15811598
2970,14,"Forestry",64699
