"edge_id","trip_group_id","produce","flow_value"
2,1,"Dairy",83784
2,2,"Beef",2392
2,3,"Beef",2392
2,4,"Beef",7170
2,5,"Beef",2392
2,6,"Beef",2392
2,7,"Beef",7170
2,8,"Sheepmeat",1851
2,9,"Sheepmeat",1720
2,10,"Sheepmeat",1720
2,11,"Forestry",369
2,12,"Forestry",369
2,13,"Forestry",36
2,14,"Forestry",36
2,15,"Forestry",744
2,16,"Forestry",7736
2,17,"Fruit",79101
2,18,"Fruit",79101
2,19,"Fruit",173809
2,20,"Fruit",10205
2,21,"Fruit",20404
2,22,"Fruit",5100
2,23,"Veges",94459
2,24,"Veges",91311
2,25,"Veges",91311
2,26,"Veges",37786
3,1,"Dairy",454582905
3,2,"Beef",12978858
3,3,"Beef",12978858
3,4,"Beef",38904290
3,5,"Beef",12978858
3,6,"Beef",12978858
3,7,"Beef",38904290
3,8,"Sheepmeat",10040858
3,9,"Sheepmeat",9330572
3,10,"Sheepmeat",9330572
3,11,"Forestry",2001714
3,12,"Forestry",2001714
3,13,"Forestry",193714
3,14,"Forestry",193714
3,15,"Forestry",4035715
3,16,"Forestry",41971433
3,17,"Fruit",429174045
3,18,"Fruit",429174045
3,19,"Fruit",943033527
3,20,"Fruit",53598445
3,21,"Fruit",107165637
3,22,"Fruit",27668860
3,23,"Veges",496105953
3,24,"Veges",495424337
3,25,"Veges",495424337
3,26,"Veges",205014307
5,1,"Dairy",501055494
5,2,"Beef",14305704
5,3,"Beef",14305704
5,4,"Beef",42881525
5,5,"Beef",14305704
5,6,"Beef",14305704
5,7,"Beef",42881525
5,8,"Sheepmeat",11067348
5,9,"Sheepmeat",10284449
5,10,"Sheepmeat",10284449
5,11,"Forestry",2206352
5,12,"Forestry",2206352
5,13,"Forestry",213518
5,14,"Forestry",213518
5,15,"Forestry",4448291
5,16,"Forestry",46262226
5,17,"Fruit",473049054
5,18,"Fruit",473049054
5,19,"Fruit",1039441046
5,20,"Fruit",59258991
5,21,"Fruit",118483428
5,22,"Fruit",30497483
5,23,"Veges",548499837
5,24,"Veges",546072198
5,25,"Veges",546072198
5,26,"Veges",225973181
6,1,"Dairy",26346226
6,2,"Beef",752215
6,3,"Beef",752215
6,4,"Beef",2254773
6,5,"Beef",752215
6,6,"Beef",752215
6,7,"Beef",2254773
6,8,"Sheepmeat",581937
6,9,"Sheepmeat",540771
6,10,"Sheepmeat",540771
6,11,"Forestry",116013
6,12,"Forestry",116013
6,13,"Forestry",11227
6,14,"Forestry",11227
6,15,"Forestry",233898
6,16,"Forestry",2432535
6,17,"Fruit",24873607
6,18,"Fruit",24873607
6,19,"Fruit",54655321
6,20,"Fruit",3209075
6,21,"Fruit",6416279
6,22,"Fruit",1603602
6,23,"Veges",29703125
6,24,"Veges",28713270
6,25,"Veges",28713270
6,26,"Veges",11881998
8,1,"Dairy",691424367
8,2,"Beef",443514
8,3,"Beef",443514
8,4,"Beef",1329440
8,5,"Beef",443514
8,6,"Beef",443514
8,7,"Beef",1329440
8,8,"Sheepmeat",485291
8,9,"Sheepmeat",318845
8,10,"Sheepmeat",318845
8,11,"Forestry",96746
8,12,"Forestry",96746
8,13,"Forestry",6620
8,14,"Forestry",333854
8,15,"Forestry",137909
8,16,"Forestry",62838671
8,17,"Fruit",729426420
8,18,"Fruit",729426420
8,19,"Fruit",1602784646
8,22,"Fruit",945502
8,24,"Veges",741738011
8,25,"Veges",842025759
8,26,"Veges",306942742
10,1,"Dairy",4101616
10,2,"Beef",117106
10,3,"Beef",117106
10,4,"Beef",351026
10,5,"Beef",117106
10,6,"Beef",117106
10,7,"Beef",351026
10,8,"Sheepmeat",90597
10,9,"Sheepmeat",84188
10,10,"Sheepmeat",84188
10,11,"Forestry",18061
10,12,"Forestry",18061
10,13,"Forestry",1748
10,14,"Forestry",1748
10,15,"Forestry",36413
10,16,"Forestry",378700
10,17,"Fruit",3872357
10,18,"Fruit",3872357
10,19,"Fruit",8508814
10,20,"Fruit",499593
10,21,"Fruit",998895
10,22,"Fruit",249651
10,23,"Veges",4624222
10,24,"Veges",4470120
10,25,"Veges",4470120
10,26,"Veges",1849805
12,1,"Dairy",64241486
12,2,"Beef",1834167
12,3,"Beef",1834167
12,4,"Beef",5497940
12,5,"Beef",1834167
12,6,"Beef",1834167
12,7,"Beef",5497940
12,8,"Sheepmeat",1418970
12,9,"Sheepmeat",1318593
12,10,"Sheepmeat",1318593
12,11,"Forestry",282882
12,12,"Forestry",282882
12,13,"Forestry",27376
12,14,"Forestry",27376
12,15,"Forestry",570326
12,16,"Forestry",5931387
12,17,"Fruit",60650716
12,18,"Fruit",60650716
12,19,"Fruit",133269146
12,20,"Fruit",7824869
12,21,"Fruit",15645174
12,22,"Fruit",3910153
12,23,"Veges",72426801
12,24,"Veges",70013182
12,25,"Veges",70013182
12,26,"Veges",28972545
14,1,"Dairy",3660861
14,2,"Beef",104522
14,3,"Beef",104522
14,4,"Beef",313305
14,5,"Beef",104522
14,6,"Beef",104522
14,7,"Beef",313305
14,8,"Sheepmeat",80861
14,9,"Sheepmeat",75141
14,10,"Sheepmeat",75141
14,11,"Forestry",16120
14,12,"Forestry",16120
14,13,"Forestry",1560
14,14,"Forestry",1560
14,15,"Forestry",32501
14,16,"Forestry",338006
14,17,"Fruit",3456238
14,18,"Fruit",3456238
14,19,"Fruit",7594466
14,20,"Fruit",445907
14,21,"Fruit",891555
14,22,"Fruit",222824
14,23,"Veges",4127309
14,24,"Veges",3989766
14,25,"Veges",3989766
14,26,"Veges",1651027
19,1,"Dairy",52016
19,2,"Beef",1485
19,3,"Beef",1485
19,4,"Beef",4452
19,5,"Beef",1485
19,6,"Beef",1485
19,7,"Beef",4452
19,8,"Sheepmeat",1149
19,9,"Sheepmeat",1068
19,10,"Sheepmeat",1068
19,11,"Forestry",229
19,12,"Forestry",229
19,13,"Forestry",22
19,14,"Forestry",22
19,15,"Forestry",462
19,16,"Forestry",4803
19,17,"Fruit",49108
19,18,"Fruit",49108
19,19,"Fruit",107907
19,20,"Fruit",6336
19,21,"Fruit",12668
19,22,"Fruit",3166
19,23,"Veges",58643
19,24,"Veges",56689
19,25,"Veges",56689
19,26,"Veges",23459
20,1,"Dairy",771074
20,2,"Beef",22015
20,3,"Beef",22015
20,4,"Beef",65990
20,5,"Beef",22015
20,6,"Beef",22015
20,7,"Beef",65990
20,8,"Sheepmeat",17032
20,9,"Sheepmeat",15827
