scenario,property_id,poi_id,poi_name
Breaks,3297,38,Bulwer Bay
Breaks,3298,38,Bulwer Bay
Breaks,3299,38,Bulwer Bay
Breaks,3300,38,Bulwer Bay
Breaks,3301,38,Bulwer Bay
Breaks,3302,38,Bulwer Bay
Breaks,3303,38,Bulwer Bay
Breaks,3304,38,Bulwer Bay
Breaks,3305,38,Bulwer Bay
Breaks,3306,38,Bulwer Bay
Breaks,3307,38,Bulwer Bay
Breaks,3308,38,Bulwer Bay
Breaks,3309,38,Bulwer Bay
Breaks,3310,35,Elmslie Bay (French Pass)
Breaks,3311,35,Elmslie Bay (French Pass)
Breaks,3312,35,Elmslie Bay (French Pass)
Breaks,3313,35,Elmslie Bay (French Pass)
Breaks,3314,35,Elmslie Bay (French Pass)
Breaks,3315,35,Elmslie Bay (French Pass)
Breaks,3316,35,Elmslie Bay (French Pass)
Breaks,3317,35,Elmslie Bay (French Pass)
Breaks,3318,36,Kapowai Bay (D'urville Island)
Breaks,3319,36,Kapowai Bay (D'urville Island)
Breaks,3320,34,Cissy Bay
Breaks,3321,34,Cissy Bay
Breaks,3322,35,Elmslie Bay (French Pass)
Breaks,3323,35,Elmslie Bay (French Pass)
Breaks,3324,35,Elmslie Bay (French Pass)
Breaks,3325,35,Elmslie Bay (French Pass)
Breaks,3326,35,Elmslie Bay (French Pass)
Breaks,3327,35,Elmslie Bay (French Pass)
Breaks,3328,35,Elmslie Bay (French Pass)
Breaks,3329,35,Elmslie Bay (French Pass)
Breaks,3330,38,Bulwer Bay
Breaks,3331,38,Bulwer Bay
Breaks,3332,38,Bulwer Bay
Breaks,3333,38,Bulwer Bay
Breaks,3334,38,Bulwer Bay
Breaks,3335,38,Bulwer Bay
Breaks,3336,36,Kapowai Bay (D'urville Island)
Breaks,3337,36,Kapowai Bay (D'urville Island)
Breaks,3338,36,Kapowai Bay (D'urville Island)
Breaks,3339,36,Kapowai Bay (D'urville Island)
Breaks,3340,36,Kapowai Bay (D'urville Island)
Breaks,3341,36,Kapowai Bay (D'urville Island)
Breaks,3342,36,Kapowai Bay (D'urville Island)
Breaks,3343,36,Kapowai Bay (D'urville Island)
Breaks,3344,36,Kapowai Bay (D'urville Island)
Breaks,3345,38,Bulwer Bay
Breaks,3346,38,Bulwer Bay
Breaks,3347,38,Bulwer Bay
Breaks,3348,37,Hamilton Bay (Rocky Creek) Ramp
Breaks,3349,38,Bulwer Bay
Breaks,3350,37,Hamilton Bay (Rocky Creek) Ramp
Breaks,3351,38,Bulwer Bay
Breaks,3352,37,Hamilton Bay (Rocky Creek) Ramp
Breaks,3353,37,Hamilton Bay (Rocky Creek) Ramp
Breaks,3354,37,Hamilton Bay (Rocky Creek) Ramp
Breaks,3355,37,Hamilton Bay (Rocky Creek) Ramp
Breaks,3356,38,Bulwer Bay
Breaks,3357,38,Bulwer Bay
Breaks,3358,37,Hamilton Bay (Rocky Creek) Ramp
Breaks,3359,37,Hamilton Bay (Rocky Creek) Ramp
Breaks,3360,38,Bulwer Bay
Breaks,3361,38,Bulwer Bay
Breaks,3362,38,Bulwer Bay
Breaks,3363,37,Hamilton Bay (Rocky Creek) Ramp
Breaks,3364,37,Hamilton Bay (Rocky Creek) Ramp
Breaks,3365,34,Cissy Bay
