property_id,category_desc,area_ha
261542,Beef and Sheep,0.093
261542,Forestry,0.429
264196,Beef and Sheep,0.813
264196,Forestry,7.556
264196,Sheep,0.095
3595186,Sheep,33.525
3595695,Forestry,9.984
3595695,Sheep,51.688
3595769,Forestry,0.047
3595862,Forestry,0.445
3595862,Sheep,0.444
3596421,Sheep,0.007
3596619,Beef and Sheep,68.305
3596619,Sheep,64.142
3596855,Forestry,37.808
3596855,Sheep,3.269
3597302,Sheep,0.086
3597577,Sheep,33.774
3598146,Sheep,1.686
3598338,Forestry,0.012
3598949,Sheep,0.221
3599005,Forestry,6.52
3599005,Sheep,50.197
3599333,Forestry,3.25
3599333,Sheep,3.119
3599337,Forestry,0.48
3599338,Sheep,0.26
3599341,Forestry,11.719
3599341,Sheep,0.685
3599345,Sheep,14.527
3599571,Sheep,56.19
3599747,Sheep,0.021
3599884,Sheep,4.307
3599891,Sheep,0.013
3600079,Forestry,107.109
3600229,Forestry,29.847
3600562,Sheep,0.315
3600574,Sheep,0.089
3600645,Forestry,38.24
3600699,Forestry,0.067
3600758,Beef and Sheep,42.288
3601041,Forestry,30.404
3601059,Sheep,0
3601288,Forestry,0.063
3601734,Beef and Sheep,18.861
3601734,Sheep,0.171
3601855,Forestry,6.919
3602433,Forestry,0.062
3602858,Sheep,0.189
3603110,Forestry,1.09
3603110,Sheep,2.127
3603504,Sheep,51.432
3603758,Forestry,1.161
3604477,Forestry,0.156
3604477,Sheep,14.852
3604618,Sheep,7.157
3604689,Beef and Sheep,22.491
3604894,Sheep,0.129
3605053,Sheep,0.106
3605210,Sheep,4.385
3605378,Forestry,95.67
3605378,Sheep,0.075
3606059,Sheep,14.75
3606161,Sheep,0.744
3606231,Forestry,0.044
3606484,Forestry,24.132
3606755,Sheep,0.099
3607225,Sheep,0.018
3607575,Sheep,0.157
3607796,Beef and Sheep,0.011
3607796,Forestry,81.346
3607796,Sheep,0.153
3608220,Forestry,0.013
3608307,Sheep,0.006
3608652,Sheep,0.102
3608891,Forestry,26.341
3608891,Sheep,5.8
3609006,Sheep,0.249
3609237,Forestry,15.645
3609237,Sheep,14.345
3609245,Forestry,0.027
3609247,Sheep,0.262
3609313,Forestry,28.276
3609313,Sheep,0.791
3609781,Forestry,0.015
3609916,Forestry,14.96
3610015,Sheep,0.116
3610040,Forestry,19.792
3610040,Sheep,2.657
3610046,Forestry,0.237
3610046,Sheep,0.074
3610534,Forestry,0.006
3610923,Sheep,25.35
3612080,Sheep,0.003
3612204,Forestry,0.11
3612204,Sheep,0.241
3612578,Beef and Sheep,0.066
3612578,Sheep,0.609
3612627,Forestry,1.105
3612627,Sheep,682.245
3612748,Sheep,0.004
3613064,Sheep,0.33
3613070,Forestry,0.004
3613070,Sheep,0.728
3613071,Forestry,50.009
3613072,Forestry,8.863
3613072,Sheep,0.125
3613744,Sheep,0.101
3614295,Sheep,0.101
3614488,Sheep,0.148
3614596,Sheep,0.049
3615383,Sheep,2.176
3615720,Sheep,45.29
3615721,Sheep,8.053
3615807,Sheep,0.077
3615808,Sheep,51.747
3616073,Sheep,4.963
3616141,Sheep,0.021
3616498,Forestry,37.187
3616498,Sheep,1.167
3616605,Beef and Sheep,32.385
3616605,Sheep,0.248
3616751,Forestry,23.722
3616751,Sheep,0.952
3617148,Sheep,0.399
3618068,Forestry,92.901
3618068,Sheep,0.775
3618146,Sheep,0.074
3618427,Sheep,2.561
3618510,Beef and Sheep,18.981
3618510,Sheep,32.096
3618957,Forestry,17.002
3618957,Sheep,16.078
3619239,Forestry,0.65
3619239,Sheep,0.85
3619547,Forestry,38.182
3619547,Sheep,1.048
3619892,Sheep,5.144
3619958,Forestry,0.08
3619958,Sheep,0.219
3620346,Forestry,8.46
3620346,Sheep,0.358
3621273,Sheep,26.484
3621274,Sheep,40.841
3621291,Forestry,0.358
3621291,Sheep,0.093
3621419,Sheep,27.306
3621637,Sheep,0.109
3621638,Forestry,2.288
3621642,Sheep,67.301
3621721,Sheep,1.007
3622010,Sheep,1.956
3622760,Forestry,0.057
