coded_id,road,intersection,severity,crash_date,movement,veh1,veh1_c,veh2,veh2_c,road_wet,road_curve,light,junction,lat,lng
1179594, LONGLANDS ROAD EAST,0,M,2019-03-06,GD,C,102-112-181,C,102,D,S,B,D,-39.669403,176.820221
1177468, RIVERSLEA ROAD SOUTH,0,S,2019-01-18,CB,M,103-420-518,,,D,S,D,N,-39.649635,176.84816
1179949,002-0483,0,M,2019-03-20,DF,C,103-121,,,D,C,D,N,-38.94841,177.803772
1195231,002-0483,0,N,2019-02-28,DE,C,103-129,,,D,C,T,N,-38.963341,177.790009
1197893,002-0483,0,N,2019-03-29,DB,C,103-132,,,W,C,O,N,-38.952271,177.789688
1208874,002-0483,0,N,2019-07-10,DB,T,102-129,,,D,C,B,N,-38.934643,177.799576
1191717,002-0483,0,N,2018-12-01,DE,C,102-123-131,,,W,C,O,N,-38.961433,177.791122
1185722,002-0483,0,N,2019-02-07,DB,C,102-195,,,W,C,D,N,-38.921432,177.804688
1195945,002-0497,0,N,2019-03-07,BC,C,111-505,T,,D,C,B,N,-39.043407,177.683044
1182635,002-0497,0,S,2019-04-22,DC,C,134,,,D,C,D,N,-39.040676,177.718735
1209416,002-0497,0,N,2019-07-13,CC,C,102-125-197,K,,D,S,O,N,-39.043983,177.669678
1206228,002-0516,0,N,2019-06-18,FA,C,181-357,C,191-357,D,S,D,N,-39.027298,177.422974
1190824,002-0516,0,N,2018-11-25,BA,K,125,U,,D,S,O,N,-39.029339,177.523254
1209706,002-0516,0,M,2019-11-23,EO,C,102-514,C,102,D,S,D,N,-39.029804,177.526093
1213951,002-0516,0,M,2020-01-04,DB,M,102-135,,,D,C,B,N,-39.02681,177.437561
1209559,002-0516,0,M,2019-09-01,DE,M,102-130-402,,,D,C,B,N,-39.026718,177.481354
1192636,002-0516,0,N,2018-12-12,DE,U,102-129-350,,,D,C,B,N,-39.017635,177.450775
1183994,002-0533,0,N,2019-01-13,AA,C,101-381,C,,D,S,B,N,-39.038074,177.412201
1204111,002-0533,0,M,2019-05-30,EO,C,102-132-341,T,102,D,C,B,N,-39.033646,177.369431
1207748,002-0533,0,N,2019-06-28,KB,B,102,C,102-308-363,D,S,B,D,-39.035496,177.417801
1178593,002-0533,0,M,2019-02-04,DB,T,129-412,,,D,C,B,N,-39.038383,177.407425
1213247,002-0533,0,N,2019-08-14,QG,T,103-660,,,W,C,D,N,-39.040352,177.391113
1198413,002-0544,0,N,2019-04-04,CB,4,103-129-412,,,W,S,D,N,-39.091141,177.277069
1207921,002-0544,0,S,2019-11-03,DA,M,102-135,,,D,C,B,N,-39.066208,177.300491
1190953,002-0544,0,N,2018-11-26,DE,4,102-118-131,,,W,C,O,N,-39.066177,177.300735
1192733,002-0544,0,N,2018-12-13,DB,C,103-412,,,D,C,O,N,-39.069557,177.298538
1200251,002-0544,0,N,2019-04-22,BB,C,102-123-410,4,,W,C,D,N,-39.077888,177.283035
1177837,002-0544,0,M,2016-08-15,FD,U,181,C,,D,S,B,N,-39.035275,177.311356
1181699,002-0544,0,M,2019-04-11,DF,H,101-121,O,,D,C,O,N,-39.065601,177.298111
1199663,002-0544,0,N,2019-04-16,DE,C,129-410,,,D,C,O,N,-39.075447,177.285278
1036237,002-0562,0,F,2015-11-07,AA,C,109-330-371-532-532,C,150,D,C,B,N,-39.064655,177.120621
1208166,002-0562,0,N,2019-07-02,AB,C,103-156,U,103,D,C,D,N,-39.064068,177.119995
1178309,002-0562,0,M,2019-01-24,DF,U,195,,,W,C,O,N,-39.090065,177.197708
1184528,002-0562,0,N,2019-01-21,CC,C,102-134-410,,,D,S,B,N,-39.083683,177.154572
1207913,002-0577,0,S,2019-10-29,DB,C,102-137-402-410,,,D,C,B,N,-39.091553,177.00882
1183843,002-0577,0,N,2019-01-11,DB,C,118-132-336,,,D,C,B,N,-39.097824,177.010284
1185348,002-0577,0,N,2019-02-02,DB,V,119-135-404,,,W,C,O,N,-39.064423,177.030289
1186288,002-0577,0,N,2016-10-22,DC,C,103-111-131-402,,,D,C,O,N,-39.056236,177.067749
1195770,002-0592,0,M,2019-07-27,DF,M,101-131,U,102,D,C,B,N,-39.148277,176.962524
1192685,002-0592,0,N,2018-12-13,CC,U,102-118-135,,,W,S,O,N,-39.148235,176.965317
