"road_id","road_name","road_type","urban_rural","onrc","seal_type","owner_type","total_km","lane_km","traffic","heavy","VKT","VKT_Heavy","adrc","maint","emergency","wol","geom_id"
1,"AMELIA CRESCENT","Local Authority","Urban","Low Volume","Sealed","L",0.248,0.496,131,0.07,11858,830,33457.62,17872.97,0,51330.59,1
4,"ANGLE STREET","Local Authority","Urban","Low Volume","Sealed","L",0.166,0.332,109,0.07,6604,462,9980.66,9236.51,0,19217.17,2
4,"ANGLE STREET","Local Authority","Urban","Unknown","Sealed","L",0.058,0.116,,,,,24169.95,0,0,24169.95,3
6,"ARTHUR CRESCENT","Local Authority","Urban","Low Volume","Sealed","L",0.233,0.466,135,0.067,11512,768,22889.03,14484.13,90.13,37373.16,4
12,"BEACH ROAD (WAIKAWA)","Local Authority","Urban","Secondary Collector","Sealed","L",0.831,1.662,2129,0.098,645610,63434,26627.52,11681.58,0,38309.1,5
13,"BOONS VALLEY ROAD","Local Authority","Rural","Access","Sealed","L",0.627,0.627,77,0.29,17622,5110,4450.11,44503.53,857.15,48953.64,6
13,"BOONS VALLEY ROAD","Local Authority","Rural","Low Volume","Sealed","L",0.237,0.237,13,0.29,1125,326,3502.66,4991.36,0,8494.02,7
13,"BOONS VALLEY ROAD","Local Authority","Rural","Low Volume","Unsealed","L",0.919,0.919,13,0.29,4361,1265,2667.66,5023.98,2537.99,7691.64,8
13,"BOONS VALLEY ROAD","Local Authority","Urban","Access","Sealed","L",0.364,0.728,449,0.07,59610,4173,9295.64,27461.22,1200.05,36756.86,9
13,"BOONS VALLEY ROAD","Local Authority","Urban","Low Volume","Sealed","L",0.282,0.282,174,0.07,17910,1254,9367.22,5755.44,0,15122.66,10
14,"BROADWAY","Local Authority","Urban","Access","Sealed","L",0.761,1.522,1007,0.07,279847,19589,24542.79,7597.76,13.14,32140.55,11
17,"BULLER STREET","Local Authority","Urban","Access","Sealed","L",0.476,0.952,691,0.07,119990,8399,13853.58,6698.45,289.57,20552.03,12
17,"BULLER STREET","Local Authority","Urban","Low Volume","Sealed","L",0.121,0.242,218,0.07,9628,674,10653.94,5106.27,0,15760.21,13
20,"BROADWAY EAST","Local Authority","Urban","Access","Sealed","L",0.096,0.192,470,0.07,16469,1153,12458.62,5387.36,0,17845.98,14
20,"BROADWAY EAST","Local Authority","Urban","Low Volume","Sealed","L",0.131,0.262,235,0.07,11237,787,31993.7,2831.86,0,34825.56,15
21,"CANTERBURY STREET","Local Authority","Urban","Access","Sealed","L",0.366,0.732,299,0.07,39961,2797,20085.26,10982.16,0,31067.42,16
21,"CANTERBURY STREET","Local Authority","Urban","Low Volume","Sealed","L",0.118,0.236,176,0.07,7580,531,37940.45,9334.17,0,47274.62,17
22,"CORNWALL STREET","Local Authority","Urban","Access","Sealed","L",0.217,0.434,417,0.06,33028,1982,9807.17,8323.64,0,18130.81,18
23,"DEVON STREET","Local Authority","Urban","Access","Sealed","L",0.821,1.642,384,0.07,115050,8054,11382.54,5888.64,0,17271.18,19
23,"DEVON STREET","Local Authority","Urban","Low Volume","Sealed","L",0.177,0.354,94,0.06,6073,364,8051.68,4960.3,0,13011.98,20
24,"DORSET STREET CENTRE","Local Authority","Urban","Low Volume","Sealed","L",0.194,0.194,48,0.06,3399,204,27996.39,8432.03,0,36428.42,21
25,"DORSET STREET NORTH","Local Authority","Urban","Access","Sealed","L",0.221,0.442,111,0.06,8954,537,8963.14,12704.33,0,21667.47,22
25,"DORSET STREET NORTH","Local Authority","Urban","Low Volume","Sealed","L",0.089,0.178,24,0.06,780,47,4708.61,12147.89,0,16856.5,23
