"point_id","x","y"
42931,173.905895,-41.268285
57698,173.909317,-41.267827
57699,173.90908,-41.267813
57700,173.908888,-41.267711
57701,173.908698,-41.267602
57702,173.908528,-41.267481
57694,173.910264,-41.267892
57695,173.910028,-41.267872
57696,173.909792,-41.267855
57697,173.909555,-41.267841
93069,174.110893,-41.058396
93074,174.110621,-41.057471
93075,174.110438,-41.057339
93076,174.110244,-41.057216
93077,174.110082,-41.057072
93078,174.109945,-41.05691
93079,174.109793,-41.056756
93080,174.109641,-41.056602
93081,174.1095,-41.056443
93082,174.109359,-41.056283
93083,174.109219,-41.056123
93084,174.109078,-41.055963
93085,174.10892,-41.055814
93086,174.108756,-41.055668
93087,174.108602,-41.055515
93071,174.11084,-41.058014
93072,174.110803,-41.057824
93073,174.110744,-41.057638
93070,174.110874,-41.058204
93088,174.108422,-41.055381
93089,174.108214,-41.055272
93090,174.108072,-41.055114
93091,174.107942,-41.05495
93092,174.107828,-41.054779
93093,174.107714,-41.054608
93094,174.107551,-41.054462
93095,174.107381,-41.05432
93096,174.107211,-41.054177
93097,174.107041,-41.054035
93098,174.106866,-41.053897
93099,174.106691,-41.053759
93100,174.106587,-41.053585
93101,174.106483,-41.05341
93102,174.106359,-41.053243
93103,174.106235,-41.053076
93104,174.106096,-41.052916
93105,174.105951,-41.052759
93106,174.105777,-41.052625
93107,174.105557,-41.05253
93108,174.105304,-41.052525
93109,174.105058,-41.052497
93110,174.104823,-41.052425
93111,174.104584,-41.052361
93112,174.104355,-41.052285
93113,174.10416,-41.052163
93114,174.103968,-41.052037
93115,174.103779,-41.05191
93116,174.103603,-41.051772
93117,174.103427,-41.051634
93140,174.102557,-41.047496
93141,174.102606,-41.047308
93142,174.102654,-41.04712
93143,174.102649,-41.046931
93144,174.102602,-41.046743
93145,174.102556,-41.046554
93146,174.102572,-41.046364
93147,174.102536,-41.046176
93148,174.102477,-41.045989
93149,174.102462,-41.045799
93150,174.102487,-41.045608
93151,174.102502,-41.045417
93152,174.102477,-41.045228
93153,174.102418,-41.045041
93118,174.103271,-41.051484
93119,174.103118,-41.051331
93120,174.102962,-41.051179
93121,174.102805,-41.051029
93122,174.102698,-41.050859
93123,174.102619,-41.050677
93124,174.102539,-41.050495
93125,174.10246,-41.050312
93126,174.102401,-41.050126
93127,174.102343,-41.049939
93128,174.102278,-41.049754
93129,174.102193,-41.049573
93130,174.102154,-41.049389
93131,174.102187,-41.049199
93132,174.102221,-41.049009
93133,174.102261,-41.04882
93134,174.102302,-41.04863
93135,174.102342,-41.048441
93136,174.102384,-41.048252
93137,174.102426,-41.048063
93138,174.102468,-41.047874
93139,174.10251,-41.047685
32751,173.85657,-40.877084
32752,173.856348,-40.877022
