"segment_id","leg_name","start_pc","end_pc"
6059,"Swim","0.00000","0.01057"
6060,"Swim","0.01057","0.02114"
6061,"Swim","0.02114","0.03171"
6062,"Swim","0.03171","0.04228"
6063,"Swim","0.04228","0.05285"
6064,"Swim","0.05285","0.06342"
6065,"Swim","0.06342","0.07400"
6066,"Swim","0.07400","0.08457"
6067,"Swim","0.08457","0.09514"
6068,"Swim","0.09514","0.10571"
6069,"Swim","0.10571","0.11628"
6070,"Swim","0.11628","0.12685"
6071,"Swim","0.12685","0.13742"
6072,"Swim","0.13742","0.14799"
6073,"Swim","0.14799","0.15856"
6074,"Swim","0.15856","0.16913"
6075,"Swim","0.16913","0.17970"
6076,"Swim","0.17970","0.19027"
6077,"Swim","0.19027","0.20085"
6078,"Swim","0.20085","0.21142"
6079,"Swim","0.21142","0.22199"
6080,"Swim","0.22199","0.23256"
6081,"Swim","0.23256","0.24313"
6082,"Swim","0.24313","0.25370"
6083,"Swim","0.25370","0.26427"
6084,"Swim","0.26427","0.27484"
6085,"Swim","0.27484","0.28541"
6086,"Swim","0.28541","0.29598"
6087,"Swim","0.29598","0.30655"
6088,"Swim","0.30655","0.31712"
6089,"Swim","0.31712","0.32770"
6090,"Swim","0.32770","0.33827"
6091,"Swim","0.33827","0.34884"
6092,"Swim","0.34884","0.35941"
6093,"Swim","0.35941","0.36998"
6094,"Swim","0.36998","0.38055"
6095,"Swim","0.38055","0.39112"
6096,"Swim","0.39112","0.40169"
6097,"Swim","0.40169","0.41226"
6098,"Swim","0.41226","0.42283"
6099,"Swim","0.42283","0.43340"
6100,"Swim","0.43340","0.44397"
6101,"Swim","0.44397","0.45455"
6102,"Swim","0.45455","0.46512"
6103,"Swim","0.46512","0.47569"
6104,"Swim","0.47569","0.48626"
6105,"Swim","0.48626","0.49683"
6106,"Swim","0.49683","0.50740"
6107,"Swim","0.50740","0.51797"
6108,"Swim","0.51797","0.52854"
6109,"Swim","0.52854","0.53911"
6110,"Swim","0.53911","0.54968"
6111,"Swim","0.54968","0.56025"
6112,"Swim","0.56025","0.57082"
6113,"Swim","0.57082","0.58140"
6114,"Swim","0.58140","0.59197"
6115,"Swim","0.59197","0.60254"
6116,"Swim","0.60254","0.61311"
6117,"Swim","0.61311","0.62368"
6118,"Swim","0.62368","0.63425"
6119,"Swim","0.63425","0.64482"
6120,"Swim","0.64482","0.65539"
6121,"Swim","0.65539","0.66596"
6122,"Swim","0.66596","0.67653"
6123,"Swim","0.67653","0.68710"
6124,"Swim","0.68710","0.69767"
6125,"Swim","0.69767","0.70825"
6126,"Swim","0.70825","0.71882"
6127,"Swim","0.71882","0.72939"
6128,"Swim","0.72939","0.73996"
6129,"Swim","0.73996","0.75053"
6130,"Swim","0.75053","0.76110"
6131,"Swim","0.76110","0.77167"
6132,"Swim","0.77167","0.78224"
6133,"Swim","0.78224","0.79281"
6134,"Swim","0.79281","0.80338"
6135,"Swim","0.80338","0.81395"
6136,"Swim","0.81395","0.82452"
6137,"Swim","0.82452","0.83510"
6138,"Swim","0.83510","0.84567"
6139,"Swim","0.84567","0.85624"
6140,"Swim","0.85624","0.86681"
6141,"Swim","0.86681","0.87738"
6142,"Swim","0.87738","0.88795"
6143,"Swim","0.88795","0.89852"
6144,"Swim","0.89852","0.90909"
6145,"Swim","0.90909","0.91966"
6146,"Swim","0.91966","0.93023"
6147,"Swim","0.93023","0.94080"
6148,"Swim","0.94080","0.95137"
6149,"Swim","0.95137","0.96195"
6150,"Swim","0.96195","0.97252"
6151,"Swim","0.97252","0.98309"
6152,"Swim","0.98309","1.00000"
6153,"T1","0.00000","0.03817"
6154,"T1","0.03817","0.07634"
6155,"T1","0.07634","0.11450"
6156,"T1","0.11450","0.15267"
6157,"T1","0.15267","0.19084"
6158,"T1","0.19084","0.22901"
6159,"T1","0.22901","0.26718"
6160,"T1","0.26718","0.30534"
6161,"T1","0.30534","0.34351"
6162,"T1","0.34351","0.38168"
6163,"T1","0.38168","0.41985"
6164,"T1","0.41985","0.45802"
6165,"T1","0.45802","0.51145"
6166,"T1","0.51145","0.54962"
6167,"T1","0.54962","0.58779"
6168,"T1","0.58779","0.62595"
6169,"T1","0.62595","0.66412"
6170,"T1","0.66412","0.70229"
6171,"T1","0.70229","0.74046"
6172,"T1","0.74046","0.77863"
6173,"T1","0.77863","0.81679"
6174,"T1","0.81679","0.85496"
6175,"T1","0.85496","0.89313"
6176,"T1","0.89313","0.93130"
6177,"T1","0.93130","1.00000"
1896,"Bike","0.00000","0.00022"
1897,"Bike","0.00022","0.00045"
1898,"Bike","0.00045","0.00067"
1899,"Bike","0.00067","0.00089"
1900,"Bike","0.00089","0.00111"
1901,"Bike","0.00111","0.00133"
1902,"Bike","0.00133","0.00155"
1903,"Bike","0.00155","0.00178"
1904,"Bike","0.00178","0.00199"
1905,"Bike","0.00199","0.00221"
1906,"Bike","0.00221","0.00244"
1907,"Bike","0.00244","0.00266"
1908,"Bike","0.00266","0.00289"
1909,"Bike","0.00289","0.00312"
1910,"Bike","0.00312","0.00334"
1911,"Bike","0.00334","0.00358"
1912,"Bike","0.00358","0.00380"
1913,"Bike","0.00380","0.00405"
1914,"Bike","0.00405","0.00427"
1915,"Bike","0.00427","0.00450"
1916,"Bike","0.00450","0.00473"
1917,"Bike","0.00473","0.00496"
1918,"Bike","0.00496","0.00517"
1919,"Bike","0.00517","0.00540"
1920,"Bike","0.00540","0.00562"
1921,"Bike","0.00562","0.00582"
1922,"Bike","0.00582","0.00605"
1923,"Bike","0.00605","0.00626"
1924,"Bike","0.00626","0.00648"
1925,"Bike","0.00648","0.00669"
1926,"Bike","0.00669","0.00692"
1927,"Bike","0.00692","0.00714"
1928,"Bike","0.00714","0.00737"
1929,"Bike","0.00737","0.00758"
1930,"Bike","0.00758","0.00780"
1931,"Bike","0.00780","0.00801"
1932,"Bike","0.00801","0.00824"
1933,"Bike","0.00824","0.00845"
1934,"Bike","0.00845","0.00867"
1935,"Bike","0.00867","0.00890"
1936,"Bike","0.00890","0.00912"
1937,"Bike","0.00912","0.00933"
1938,"Bike","0.00933","0.00956"
1939,"Bike","0.00956","0.00978"
1940,"Bike","0.00978","0.01000"
1941,"Bike","0.01000","0.01023"
1942,"Bike","0.01023","0.01045"
1943,"Bike","0.01045","0.01066"
1944,"Bike","0.01066","0.01089"
1945,"Bike","0.01089","0.01111"
1946,"Bike","0.01111","0.01134"
1947,"Bike","0.01134","0.01157"
1948,"Bike","0.01157","0.01181"
1949,"Bike","0.01181","0.01204"
1950,"Bike","0.01204","0.01228"
1951,"Bike","0.01228","0.01252"
1952,"Bike","0.01252","0.01275"
1953,"Bike","0.01275","0.01300"
1954,"Bike","0.01300","0.01324"
1955,"Bike","0.01324","0.01347"
1956,"Bike","0.01347","0.01371"
1957,"Bike","0.01371","0.01391"
1958,"Bike","0.01391","0.01415"
1959,"Bike","0.01415","0.01435"
1960,"Bike","0.01435","0.01456"
1961,"Bike","0.01456","0.01480"
1962,"Bike","0.01480","0.01507"
1963,"Bike","0.01507","0.01533"
1964,"Bike","0.01533","0.01558"
1965,"Bike","0.01558","0.01581"
1966,"Bike","0.01581","0.01599"
1967,"Bike","0.01599","0.01622"
1968,"Bike","0.01622","0.01643"
1969,"Bike","0.01643","0.01670"
1970,"Bike","0.01670","0.01694"
1971,"Bike","0.01694","0.01716"
1972,"Bike","0.01716","0.01733"
1973,"Bike","0.01733","0.01759"
1974,"Bike","0.01759","0.01778"
1975,"Bike","0.01778","0.01798"
1976,"Bike","0.01798","0.01824"
1977,"Bike","0.01824","0.01850"
1978,"Bike","0.01850","0.01883"
1979,"Bike","0.01883","0.01914"
1980,"Bike","0.01914","0.01944"
1981,"Bike","0.01944","0.01961"
1982,"Bike","0.01961","0.01986"
1983,"Bike","0.01986","0.02005"
1984,"Bike","0.02005","0.02031"
1985,"Bike","0.02031","0.02054"
1986,"Bike","0.02054","0.02072"
1987,"Bike","0.02072","0.02085"
1988,"Bike","0.02085","0.02107"
1989,"Bike","0.02107","0.02125"
1990,"Bike","0.02125","0.02151"
1991,"Bike","0.02151","0.02169"
1992,"Bike","0.02169","0.02191"
1993,"Bike","0.02191","0.02206"
1994,"Bike","0.02206","0.02225"
1995,"Bike","0.02225","0.02241"
1996,"Bike","0.02241","0.02261"
1997,"Bike","0.02261","0.02283"
1998,"Bike","0.02283","0.02302"
1999,"Bike","0.02302","0.02325"
2000,"Bike","0.02325","0.02343"
2001,"Bike","0.02343","0.02369"
2002,"Bike","0.02369","0.02389"
2003,"Bike","0.02389","0.02411"
2004,"Bike","0.02411","0.02436"
2005,"Bike","0.02436","0.02455"
2006,"Bike","0.02455","0.02480"
2007,"Bike","0.02480","0.02502"
2008,"Bike","0.02502","0.02524"
2009,"Bike","0.02524","0.02544"
2010,"Bike","0.02544","0.02567"
2011,"Bike","0.02567","0.02591"
2012,"Bike","0.02591","0.02615"
2013,"Bike","0.02615","0.02641"
2014,"Bike","0.02641","0.02666"
2015,"Bike","0.02666","0.02693"
2016,"Bike","0.02693","0.02719"
2017,"Bike","0.02719","0.02745"
2018,"Bike","0.02745","0.02768"
2019,"Bike","0.02768","0.02793"
2020,"Bike","0.02793","0.02815"
2021,"Bike","0.02815","0.02837"
2022,"Bike","0.02837","0.02858"
2023,"Bike","0.02858","0.02879"
2024,"Bike","0.02879","0.02902"
2025,"Bike","0.02902","0.02925"
2026,"Bike","0.02925","0.02949"
2027,"Bike","0.02949","0.02973"
2028,"Bike","0.02973","0.02996"
2029,"Bike","0.02996","0.03020"
2030,"Bike","0.03020","0.03042"
2031,"Bike","0.03042","0.03066"
2032,"Bike","0.03066","0.03089"
2033,"Bike","0.03089","0.03113"
2034,"Bike","0.03113","0.03136"
2035,"Bike","0.03136","0.03160"
2036,"Bike","0.03160","0.03181"
2037,"Bike","0.03181","0.03203"
2038,"Bike","0.03203","0.03224"
2039,"Bike","0.03224","0.03244"
2040,"Bike","0.03244","0.03266"
2041,"Bike","0.03266","0.03288"
2042,"Bike","0.03288","0.03310"
2043,"Bike","0.03310","0.03333"
2044,"Bike","0.03333","0.03356"
2045,"Bike","0.03356","0.03380"
2046,"Bike","0.03380","0.03401"
2047,"Bike","0.03401","0.03424"
2048,"Bike","0.03424","0.03450"
2049,"Bike","0.03450","0.03474"
2050,"Bike","0.03474","0.03497"
2051,"Bike","0.03497","0.03522"
2052,"Bike","0.03522","0.03542"
2053,"Bike","0.03542","0.03564"
2054,"Bike","0.03564","0.03585"
2055,"Bike","0.03585","0.03610"
2056,"Bike","0.03610","0.03632"
2057,"Bike","0.03632","0.03655"
2058,"Bike","0.03655","0.03675"
2059,"Bike","0.03675","0.03697"
2060,"Bike","0.03697","0.03718"
2061,"Bike","0.03718","0.03738"
2062,"Bike","0.03738","0.03763"
2063,"Bike","0.03763","0.03788"
2064,"Bike","0.03788","0.03813"
2065,"Bike","0.03813","0.03840"
2066,"Bike","0.03840","0.03866"
2067,"Bike","0.03866","0.03887"
2068,"Bike","0.03887","0.03909"
2069,"Bike","0.03909","0.03931"
2070,"Bike","0.03931","0.03946"
2071,"Bike","0.03946","0.03965"
2072,"Bike","0.03965","0.03990"
2073,"Bike","0.03990","0.04012"
2074,"Bike","0.04012","0.04032"
2075,"Bike","0.04032","0.04055"
2076,"Bike","0.04055","0.04074"
2077,"Bike","0.04074","0.04096"
2078,"Bike","0.04096","0.04116"
2079,"Bike","0.04116","0.04141"
2080,"Bike","0.04141","0.04163"
2081,"Bike","0.04163","0.04188"
2082,"Bike","0.04188","0.04215"
2083,"Bike","0.04215","0.04238"
2084,"Bike","0.04238","0.04259"
2085,"Bike","0.04259","0.04283"
2086,"Bike","0.04283","0.04302"
2087,"Bike","0.04302","0.04323"
2088,"Bike","0.04323","0.04345"
2089,"Bike","0.04345","0.04365"
2090,"Bike","0.04365","0.04386"
2091,"Bike","0.04386","0.04409"
2092,"Bike","0.04409","0.04430"
2093,"Bike","0.04430","0.04455"
2094,"Bike","0.04455","0.04477"
2095,"Bike","0.04477","0.04500"
2096,"Bike","0.04500","0.04522"
2097,"Bike","0.04522","0.04543"
2098,"Bike","0.04543","0.04567"
2099,"Bike","0.04567","0.04589"
2100,"Bike","0.04589","0.04610"
2101,"Bike","0.04610","0.04633"
2102,"Bike","0.04633","0.04655"
2103,"Bike","0.04655","0.04677"
2104,"Bike","0.04677","0.04702"
2105,"Bike","0.04702","0.04732"
2106,"Bike","0.04732","0.04764"
2107,"Bike","0.04764","0.04799"
2108,"Bike","0.04799","0.04829"
2109,"Bike","0.04829","0.04855"
2110,"Bike","0.04855","0.04878"
2111,"Bike","0.04878","0.04901"
2112,"Bike","0.04901","0.04923"
2113,"Bike","0.04923","0.04945"
2114,"Bike","0.04945","0.04968"
2115,"Bike","0.04968","0.04987"
2116,"Bike","0.04987","0.05008"
2117,"Bike","0.05008","0.05029"
2118,"Bike","0.05029","0.05048"
2119,"Bike","0.05048","0.05070"
2120,"Bike","0.05070","0.05089"
2121,"Bike","0.05089","0.05110"
2122,"Bike","0.05110","0.05131"
2123,"Bike","0.05131","0.05153"
2124,"Bike","0.05153","0.05172"
2125,"Bike","0.05172","0.05195"
2126,"Bike","0.05195","0.05217"
2127,"Bike","0.05217","0.05238"
2128,"Bike","0.05238","0.05262"
2129,"Bike","0.05262","0.05283"
2130,"Bike","0.05283","0.05305"
2131,"Bike","0.05305","0.05329"
2132,"Bike","0.05329","0.05352"
2133,"Bike","0.05352","0.05376"
2134,"Bike","0.05376","0.05398"
2135,"Bike","0.05398","0.05422"
2136,"Bike","0.05422","0.05446"
2137,"Bike","0.05446","0.05470"
2138,"Bike","0.05470","0.05493"
2139,"Bike","0.05493","0.05517"
2140,"Bike","0.05517","0.05543"
2141,"Bike","0.05543","0.05568"
2142,"Bike","0.05568","0.05593"
2143,"Bike","0.05593","0.05617"
2144,"Bike","0.05617","0.05644"
2145,"Bike","0.05644","0.05670"
2146,"Bike","0.05670","0.05696"
2147,"Bike","0.05696","0.05720"
2148,"Bike","0.05720","0.05747"
2149,"Bike","0.05747","0.05771"
2150,"Bike","0.05771","0.05798"
2151,"Bike","0.05798","0.05825"
2152,"Bike","0.05825","0.05850"
2153,"Bike","0.05850","0.05878"
2154,"Bike","0.05878","0.05900"
2155,"Bike","0.05900","0.05916"
2156,"Bike","0.05916","0.05930"
2157,"Bike","0.05930","0.05947"
2158,"Bike","0.05947","0.05967"
2159,"Bike","0.05967","0.05985"
2160,"Bike","0.05985","0.06003"
2161,"Bike","0.06003","0.06022"
2162,"Bike","0.06022","0.06046"
2163,"Bike","0.06046","0.06070"
2164,"Bike","0.06070","0.06098"
2165,"Bike","0.06098","0.06121"
2166,"Bike","0.06121","0.06144"
2167,"Bike","0.06144","0.06169"
2168,"Bike","0.06169","0.06192"
2169,"Bike","0.06192","0.06213"
2170,"Bike","0.06213","0.06234"
2171,"Bike","0.06234","0.06255"
2172,"Bike","0.06255","0.06278"
2173,"Bike","0.06278","0.06304"
2174,"Bike","0.06304","0.06327"
2175,"Bike","0.06327","0.06357"
2176,"Bike","0.06357","0.06376"
2177,"Bike","0.06376","0.06393"
2178,"Bike","0.06393","0.06412"
2179,"Bike","0.06412","0.06430"
2180,"Bike","0.06430","0.06453"
2181,"Bike","0.06453","0.06473"
2182,"Bike","0.06473","0.06498"
2183,"Bike","0.06498","0.06520"
2184,"Bike","0.06520","0.06547"
2185,"Bike","0.06547","0.06573"
2186,"Bike","0.06573","0.06597"
2187,"Bike","0.06597","0.06623"
2188,"Bike","0.06623","0.06649"
2189,"Bike","0.06649","0.06674"
2190,"Bike","0.06674","0.06698"
2191,"Bike","0.06698","0.06722"
2192,"Bike","0.06722","0.06748"
2193,"Bike","0.06748","0.06772"
2194,"Bike","0.06772","0.06796"
2195,"Bike","0.06796","0.06821"
2196,"Bike","0.06821","0.06843"
2197,"Bike","0.06843","0.06864"
2198,"Bike","0.06864","0.06886"
2199,"Bike","0.06886","0.06906"
2200,"Bike","0.06906","0.06925"
2201,"Bike","0.06925","0.06946"
2202,"Bike","0.06946","0.06965"
2203,"Bike","0.06965","0.06985"
2204,"Bike","0.06985","0.07007"
