"stop_id","stop_name","stop_code","stop_lat","stop_lon","zone_id"
1,"Gordon Rd, Clocktower","353",-45.8759478,170.3488603,"5900_3C"
2,"Factory Rd, 66","268",-45.8717692,170.3552267,"5900_3C"
3,"Mosgiel Terminus","269",-45.8693389,170.3637764,"5900_3C"
4,"Bus Hub Stop F","5005",-45.872345,170.506381,"5900_1"
5,"Factory Rd, 18","262",-45.8732411,170.3500825,"5900_3C"
6,"Stuart St, King Edward Court","951",-45.87284,170.4987297,"5900_1"
7,"Princes St, Go Bus Depot","768",-45.8845,170.4976908,"5900_1"
8,"Chapman St, 102","184",-45.8569406,170.4907211,"5900_2E"
9,"Bus Hub Stop C","5002",-45.872799,170.505907,"5900_1"
10,"Hillside Rd, 169","446",-45.8935583,170.4977617,"5900_1/2A"
11,"Corstorphine Rd, 136","196",-45.9062178,170.4707331,"5900_2B"
12,"Middleton Rd, 292","584",-45.9101608,170.4654603,"5900_2B"
13,"King Edward St, 134","484",-45.8935133,170.4986089,"5900_1/2A"
14,"Bus Hub Stop H","5007",-45.872989,170.506003,"5900_1"
15,"King Edward St, 135","482",-45.8937117,170.4986056,"5900_1/2A"
16,"Bus Hub Stop B","5001",-45.873012,170.505798,"5900_1"
17,"George St, 3","313",-45.8154564,170.6220658,"5900_3E"
18,"St Clair Terminus","73",-45.9116722,170.4886428,"5900_2B"
19,"Albany St, Clubs & Societies","11",-45.8674228,170.5127881,"5900_1"
20,"Bus Hub Stop A","5000",-45.873237,170.505672,"5900_1"
21,"Clyde St, 66","190",-45.8663978,170.5163861,"5900_1"
22,"Stuart St, 330","949",-45.8705514,170.4973214,"5900_1"
23,"Bus Hub Stop G","5006",-45.872607,170.506224,"5900_1"
24,"Kaikorai Valley Rd, 513","457",-45.8860275,170.4642219,"5900_2D"
25,"Bank St, opposite Dolphin St","60",-45.8546569,170.5170597,"5900_1/2E"
26,"King Edward St, 275","476",-45.8962281,170.5007492,"5900_2B"
27,"George St, 459","309",-45.8667664,170.5076694,"5900_1"
28,"Forth St, Terminus on Leith Bridge","286",-45.8674347,170.5173347,"5900_1"
29,"North Rd, 164","646",-45.8505911,170.5256875,"5900_2F"
30,"North Rd, 17","645",-45.854625,170.5194014,"5900_1/2E"
