"","trip_group_id","gate_end_name","produce"
"1",11,"Kiwi Lumber Gisborne","Forestry"
"2",12,"Wood Engineering Technology (WET)","Forestry"
"3",1,"Waimata Cheese","Dairy"
"4",5,"Silver Fern Farms Waipatu","Beef"
"5",6,"AFFCO Wairoa","Beef"
"6",7,"AFFCO Rangiuru","Beef"
"7",10,"AFFCO Wairoa","Sheepmeat"
"8",13,"Larsen Sawmilling","Forestry"
"9",14,"Richardsons","Forestry"
"10",15,"Millari NZ Mill","Forestry"
"11",16,"Eastland Port","Forestry"
"12",17,"Gisvin","Fruit"
"13",18,"Indevin","Fruit"
"14",19,"New Zealand Fruits Ltd (Seeka)","Fruit"
"15",20,"Four Seasons","Fruit"
"16",21,"Kaiaponi Farms Ltd","Fruit"
"17",8,"Ovation Gisborne","Sheepmeat"
"18",9,"AFFCO Rangiuru","Sheepmeat"
"19",2,"Silver Fern Farms Waipatu","Beef"
"20",3,"AFFCO Wairoa","Beef"
"21",4,"AFFCO Rangiuru","Beef"
"22",22,"Riverland","Fruit"
"23",23,"Four Seasons","Veges"
"24",24,"Cedenco Foods","Veges"
"25",25,"LeaderBrand","Veges"
"26",26,"Coxco Squash Packers","Veges"
"27",27,"Silver Fern Farms Waipatu","Sheepmeat"
"28",28,"AFFCO Wairoa","Sheepmeat"
"29",29,"AFFCO Rangiuru","Sheepmeat"
